title,text,subject,date,label,combined
"  Can you hear yourself? You re a college professor and you re against intellectual debate that s deliberately provocative. Watch the insane exchange here:""",left-news,"""Apr 27"," 2017""",FALSE,can you hear yourself you re a college professor and you re against intellectual debate that s deliberately provocative watch the insane exchange here leftnews
,,,,TRUE,
" 2017""",,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""November 10"," 2017 """,,,TRUE,november    
,,,,TRUE,
politicsNews,"""February 2"," 2017 """,,TRUE,politicsnews february 
" 2017 """,,,,TRUE, 
" 2017""",,,,TRUE,
Government News,"""Feb 18"," 2017""",,FALSE,government news feb 
,,,,TRUE,
" and  political decisionmakers expect immediate and valid information  from intelligence agencies. No comment was immediately available from the chancellery or the BND intelligence agency. ($1 = 0.8617 euros) """,worldnews,"""November 3"," 2017 """,TRUE,and  political decisionmakers expect immediate and valid information  from intelligence agencies no comment was immediately available from the chancellery or the bnd intelligence agency    euros  worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""November 27"," 2017 """,,TRUE,worldnews november 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
" that President Enrique Pena Nieto s government was not breaking diplomatic ties with North Korea. """,worldnews,"""September 7"," 2017 """,TRUE,that president enrique pena nieto s government was not breaking diplomatic ties with north korea  worldnews
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
" the conservative New Democracy party.     """,worldnews,"""November 19"," 2017 """,TRUE,the conservative new democracy party      worldnews
"""January 23"," 2017 """,,,TRUE,january    
worldnews,"""September 18"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
" 2017 """,,,,TRUE, 
"  Childress said.  Anybody that works for me should respect the country we live in. So many people gave their lives for it. This is America. All drivers reportedly stood during the anthem prior to Sunday s race in New Hampshire.For entire story: Business Insider """,politics,"""Sep 25"," 2017""",FALSE,childress said  anybody that works for me should respect the country we live in so many people gave their lives for it this is america all drivers reportedly stood during the anthem prior to sunday s race in new hampshirefor entire story business insider  politics
,,,,TRUE,
,,,,TRUE,
"""March 24"," 2017 """,,,TRUE,march    
"""July 23"," 2017""",,,TRUE,july   
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""September 7"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
" the Admiral Kuznetsov.   """,worldnews,"""October 10"," 2017 """,TRUE,the admiral kuznetsov    worldnews
politics,"""Jun 3"," 2017""",,FALSE,politics jun 
,,,,TRUE,
" making it the first far-right party to enter the Bundestag in more than half a century and the third largest parliamentary bloc. """,worldnews,"""October 4"," 2017 """,TRUE,making it the first farright party to enter the bundestag in more than half a century and the third largest parliamentary bloc  worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""October 21"," 2017 """,,TRUE,worldnews october 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""December 8"," 2017 """,,,TRUE,december    
" we can say without any hesitation that this woman and all others who refuse to see the problem are seriously delusional and blinded by their hate.""",left-news,"""Jun 18"," 2017""",FALSE,we can say without any hesitation that this woman and all others who refuse to see the problem are seriously delusional and blinded by their hate leftnews
" 2017 """,,,,TRUE, 
"""December 9"," 2017 """,,,TRUE,december    
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
politicsNews,"""March 22"," 2017 """,,TRUE,politicsnews march 
,,,,TRUE,
